id,total,asian,black,hispanic,white,indian_american,indian_american
138827709,6,0,5,0,1,0,0
138827717,6,0,2,1,3,0,0
138827726,5,0,3,0,2,0,0
138863688,6,0,1,0,4,0,0
138863692,7,0,2,1,2,0,0
139069160,6,0,1,0,5,0,0
139324613,2,0,0,1,0,0,0
139333587,2,0,1,0,1,0,0
139333591,7,0,2,4,0,0,0
139333607,1,0,1,0,0,0,0
139333638,31,0,11,4,16,0,0
139439560,2,0,0,1,1,0,0
139439563,48,0,13,4,29,0,0
139439567,1,0,0,0,1,0,0
139439570,1,0,1,0,0,0,0
139633420,1,0,1,0,0,0,0
139639837,1,0,0,0,1,0,0
139639839,3,0,0,0,3,0,0
139937096,2,0,2,0,0,0,0
140065785,1,0,1,0,0,0,0
140090363,7,0,1,3,3,0,0
140090365,62,1,15,2,44,0,0
140093542,6,0,0,0,6,0,0
140095575,32,1,24,3,2,0,0
140095576,7,0,3,1,3,0,0
141141010,10,0,2,0,7,0,0
141337544,10,0,1,6,3,0,0
141392685,35,0,17,13,3,0,1
141392689,3,0,0,1,2,0,0
141392690,8,0,7,0,1,0,0
141395658,50,0,29,6,12,0,0
141395666,1,0,1,0,0,0,0
141395672,29,1,13,4,9,0,0
141395706,4,0,3,0,0,0,0
143478926,3,0,1,2,0,0,0
143811483,1,0,1,0,0,0,0
144944435,1,0,0,0,1,0,0
147778403,1,0,1,0,0,0,0
148495801,6,0,2,0,4,0,0
148771992,4,0,0,0,4,0,0
148771993,1,0,1,0,0,0,0
149082558,4,0,1,0,3,0,0
149700924,1,0,1,0,0,0,0
149701000,3,0,2,0,1,0,0
149701299,14,0,11,2,1,0,0
149701300,4,0,1,0,2,1,0
149701301,13,0,5,1,4,0,1
151182326,3,0,0,0,2,0,0
151182328,2,0,2,0,0,0,0
151182329,86,3,10,2,67,0,0
151183325,14,0,5,2,7,0,0
151183326,31,0,7,2,19,0,0
151183334,1,0,0,0,1,0,0
156825973,2,0,1,0,1,0,0
158304166,19,1,0,0,17,0,0
160123650,7,0,5,2,0,0,0
161622292,4,0,0,0,3,0,0
162312854,3,0,3,0,0,0,0
163336259,8,0,2,0,6,0,0
165830176,114,0,100,4,7,0,0
166256227,20,1,14,0,5,0,0
168354277,3,0,2,0,1,0,0
170661230,1,0,1,0,0,0,0
171713214,2,0,2,0,0,0,0
172080675,1,0,1,0,0,0,0
172080677,2,0,0,0,2,0,0
172082271,28,0,15,9,2,0,0
172082274,5,0,2,1,2,0,0
172093621,57,6,25,4,19,0,1
172126960,3,0,2,0,1,0,0
172456499,7,0,6,1,0,0,0
172457723,2,0,0,0,0,0,0
173473723,15,0,4,1,8,0,0
175349208,8,0,3,1,4,0,0
178910669,1,0,0,1,0,0,0
180104513,11,0,6,2,2,0,0
180105310,2,0,0,0,2,0,0
180105311,5,0,1,0,0,0,0
181035236,6,0,4,0,1,0,0
181950732,4,0,1,2,1,0,0
181951341,8,0,1,5,1,0,0
181951732,3,0,2,0,1,0,0
181951742,2,0,1,1,0,0,0
182080645,18,0,1,14,3,0,0
182080655,8,0,3,1,4,0,0
183524213,2,0,0,0,2,0,0
183864324,10,0,5,1,4,0,0
184817452,12,0,1,4,7,0,0
184817453,7,0,1,2,4,0,0
185309844,11,0,8,1,1,0,0
185674299,3,0,1,1,1,0,0
185734482,15,0,3,0,12,0,0
185735801,1,0,0,0,1,0,0
186051125,10,0,4,3,0,0,0
186553876,29,2,10,4,12,0,0
187589424,1,0,0,0,1,0,0
187589433,3,0,1,0,2,0,0
188019013,3,0,0,1,2,0,0
189101086,2,0,1,0,1,0,0
189101376,6,0,1,0,4,0,0
194832639,54,2,30,18,0,0,0
195779437,1,0,0,1,0,0,0
195832199,4,0,0,4,0,0,0
195834980,8,0,1,4,3,0,0
195834981,4,0,0,0,4,0,0
195834982,1,0,0,1,0,0,0
195834983,11,0,1,2,7,0,0
195835576,4,0,0,1,2,0,0
195998856,8,0,0,6,2,0,0
195998858,14,0,0,4,7,0,0
195998859,9,0,2,3,3,0,0
195998860,8,0,0,8,0,0,0
196005641,11,1,2,7,0,0,0
196005642,18,0,5,11,1,0,0
196005643,21,0,3,6,11,0,0
196005644,11,0,1,6,4,0,0
196005645,17,0,0,7,9,0,0
196005646,5,0,0,3,2,0,0
196005647,3,0,0,2,1,0,0
196017482,6,0,0,5,0,0,0
196017483,12,0,0,9,3,0,0
196467491,3,0,0,1,2,0,0
196468197,3,0,0,2,1,0,0
196468198,7,0,3,2,2,0,0
196468200,2,0,0,0,1,0,0
196468457,4,0,2,0,2,0,0
196468915,1,0,0,0,1,0,0
196470772,4,0,1,0,3,0,0
196470774,6,0,0,4,2,0,0
196470844,13,0,0,7,4,0,1
196471761,7,0,0,1,6,0,0
197023712,1,0,1,0,0,0,0
197023713,19,0,7,9,3,0,0
197053378,1,0,0,0,1,0,0
197940546,1,0,0,0,1,0,0
199289589,28,0,27,0,0,0,0
199586485,5,0,3,0,1,0,1
199588207,1,0,1,0,0,0,0
201018223,37,0,13,20,4,0,0
201662438,2,0,1,0,1,0,0
201663786,94,27,39,7,17,0,0
201663790,295,21,140,11,111,0,0
201663970,35,2,27,0,5,0,0
201664100,20,1,12,0,1,0,0
201664548,6,0,3,1,0,0,0
201667420,71,3,28,5,32,0,2
201707698,70,0,44,5,20,0,0
201760508,2,0,2,0,0,0,0
203015270,2,0,0,1,0,0,0
203024474,3,1,1,0,1,0,0
204493890,1,0,1,0,0,0,0
205282947,5,0,4,0,0,0,0
205284535,1,0,0,1,0,0,0
206541037,2,0,0,0,2,0,0
206773726,23,0,16,1,6,0,0
207356976,6,0,4,0,2,0,0
207356978,9,0,1,0,8,0,0
207414639,1,0,0,0,1,0,0
207414640,1,0,1,0,0,0,0
207414641,2,0,0,0,2,0,0
207502488,3,0,0,2,1,0,0
207509862,1,0,0,0,1,0,0
209710790,21,0,5,2,13,0,0
209710791,33,0,15,7,8,0,0
209938232,1,0,0,0,1,0,0
211201703,3,0,2,1,0,0,0
211201704,4,0,2,0,2,0,0
211752646,25,0,4,4,15,0,0
211836492,1,0,0,0,1,0,0
211836494,14,0,3,4,7,0,0
211843639,21,0,11,4,5,0,0
211843648,1,0,0,0,1,0,0
211849563,2,0,0,0,0,0,0
211849565,1,0,0,0,1,0,0
211852993,18,0,17,0,0,0,0
211852995,3,0,1,0,2,0,0
211853000,3,0,2,1,0,0,0
211853001,75,0,49,11,12,0,0
211854671,3,0,2,0,0,0,0
211854672,1,0,1,0,0,0,0
212756868,9,0,2,0,7,0,0
213162447,1,0,0,0,1,0,0
213162450,15,0,9,4,2,0,0
213180671,32,0,13,4,13,0,0
213180672,22,0,13,4,5,0,0
213181301,24,0,13,4,6,0,0
213181303,7,0,1,0,5,0,0
213181628,33,0,24,6,3,0,0
213190069,6,0,4,0,2,0,0
213190071,1,0,1,0,0,0,0
213190126,2,0,1,0,1,0,0
213199081,6,1,2,0,3,0,0
213213218,8,0,3,3,2,0,0
213215110,1,0,0,0,1,0,0
213216438,1,0,0,1,0,0,0
213216849,9,0,6,1,2,0,0
213548343,1,0,1,0,0,0,0
213575595,1,0,1,0,0,0,0
213575596,5,0,1,2,2,0,0
213617916,6,0,0,4,2,0,0
213617917,15,0,10,0,5,0,0
213617919,1,0,1,0,0,0,0
213617928,6,0,3,1,2,0,0
214852792,4,0,0,2,2,0,0
214852793,8,0,7,0,1,0,0
215115447,3,0,3,0,0,0,0
215298649,2,0,0,0,2,0,0
215298651,3,1,2,0,0,0,0
215339075,5,0,1,0,4,0,0
215344080,1,0,0,0,1,0,0
215346284,6,0,2,0,4,0,0
215347355,3,0,3,0,0,0,0
215428894,1,0,0,0,1,0,0
215521671,137,3,40,10,76,0,2
215521672,37,2,21,5,9,0,0
215522471,7,0,6,0,1,0,0
215667393,1,0,0,0,1,0,0
216267539,9,1,1,1,5,0,0
216267542,3,0,0,0,2,0,0
216268685,12,0,9,0,1,0,0
216268686,107,7,25,19,50,0,1
216274560,2,0,0,0,2,0,0
216275097,12,1,8,0,3,0,0
216285712,4,0,0,0,4,0,0
216285717,5,0,0,0,4,0,0
216285718,3,0,0,0,3,0,0
216571345,42,0,22,10,10,0,0
216571347,33,0,14,5,11,0,0
216667789,2,0,0,0,2,0,0
216866996,9,4,2,1,2,0,0
217015025,9,1,0,2,6,0,0
217379086,2,0,0,0,0,0,0
217379281,4,0,3,0,0,0,1
217379286,3,0,0,0,2,0,1
217381794,7,0,1,0,6,0,0
217381795,7,0,0,1,6,0,0
217381796,3,0,0,1,2,0,0
217381954,1,0,0,0,1,0,0
217381955,2,0,0,0,2,0,0
217382054,5,0,0,0,5,0,0
217382259,6,0,0,0,6,0,0
217382665,21,0,1,4,16,0,0
217382666,3,0,0,0,3,0,0
217382802,21,0,3,1,16,0,0
217387630,2,0,0,0,1,1,0
217387632,10,1,4,0,3,0,1
217801043,11,0,1,0,10,0,0
217801045,19,0,9,1,9,0,0
217801049,1,0,0,0,1,0,0
217801050,6,0,0,0,5,0,1
217801051,12,0,7,1,3,0,0
217801052,1,0,0,0,1,0,0
217801053,12,0,9,0,2,0,0
217801060,17,0,1,1,12,0,0
217801061,8,0,7,0,1,0,0
217801062,13,0,1,0,12,0,0
217801064,8,0,0,0,8,0,0
217801065,4,0,1,0,3,0,0
217906825,12,1,5,2,4,0,0
217906827,1,0,0,0,1,0,0
217906828,23,0,7,6,5,0,0
217906829,5,0,0,0,5,0,0
217906831,4,0,1,0,3,0,0
217906832,1,0,1,0,0,0,0
217906834,2,0,0,0,2,0,0
217906835,13,0,6,1,5,0,0
217906836,10,0,4,0,6,0,0
217906837,81,0,13,7,59,0,1
217906838,20,0,9,1,10,0,0
217906839,7,0,1,4,2,0,0
217906840,13,0,5,0,7,0,0
217906841,4,0,1,2,1,0,0
217906842,19,0,8,1,7,0,0
217906844,12,0,4,0,8,0,0
217906845,123,0,37,12,70,0,0
217998206,7,0,0,0,5,0,0
217998210,6,0,1,0,5,0,0
217998211,1,0,0,0,0,0,0
220526029,17,0,14,2,0,0,0
220526030,15,0,10,2,2,0,0
220529995,12,0,10,1,0,0,0
220549900,7,0,3,0,3,0,0
220595079,3,0,3,0,0,0,0
220595095,16,0,7,4,4,0,0
220595115,13,1,3,8,1,0,0
220595220,4,0,2,2,0,0,0
220595239,32,0,9,14,9,0,0
220595240,3,0,1,1,1,0,0
220615650,1,0,1,0,0,0,0
220733173,14,0,2,3,7,0,1
220893184,4,0,3,1,0,0,0
225294373,1,0,1,0,0,0,0
226589082,2,0,1,0,1,0,0
226906605,1,0,1,0,0,0,0
226915319,7,0,3,3,0,0,0
226915321,3,0,2,1,0,0,0
226915324,2,0,2,0,0,0,0
228308541,3,1,1,0,1,0,0
228620005,1,0,0,0,1,0,0
229087546,2,0,2,0,0,0,0
229087602,5,0,0,0,5,0,0
229087691,5,0,2,1,2,0,0
229096366,23,1,13,2,6,0,0
229251516,2,0,1,1,0,0,0
229253016,1,0,1,0,0,0,0
229253185,3,0,1,1,1,0,0
229253200,37,0,17,7,9,0,1
229350662,6,0,0,1,4,0,0
231826905,26,2,7,4,13,0,0
231864532,23,0,13,1,7,0,0
232280598,2,0,2,0,0,0,0
233651703,1,0,1,0,0,0,0
236579296,5,0,1,0,4,0,0
236579300,36,1,15,2,18,0,0
236579301,1,0,0,0,1,0,0
236579305,4,0,1,0,2,0,0
236579318,13,0,8,1,4,0,0
236582622,13,0,6,0,7,0,0
236587114,1,0,0,0,1,0,0
236587115,8,0,1,0,7,0,0
236587120,1,0,0,0,1,0,0
23786916,9,0,4,3,0,0,0
237888760,2,0,2,0,0,0,0
240411623,65,0,0,1,62,0,0
240444228,11,0,3,3,4,0,0
240745676,40,0,31,1,8,0,0
240745678,2,0,0,1,1,0,0
240746635,9,0,7,0,2,0,0
240750652,2,1,1,0,0,0,0
241009211,2,0,0,0,2,0,0
241051865,11,3,4,2,2,0,0
241051866,1,0,0,0,1,0,0
241180702,17,0,6,2,9,0,0
241188711,3,0,2,0,1,0,0
241933483,3,0,3,0,0,0,0
242395305,1,0,0,1,0,0,0
242544492,18,0,7,1,8,0,0
242624801,13,0,8,3,1,0,0
242631526,25,0,16,2,6,0,0
242631723,3,0,1,1,1,0,0
242632661,27,0,11,3,12,0,0
242632754,122,0,34,12,69,0,0
242633873,48,0,25,6,14,0,0
242633874,30,2,11,1,14,0,0
242652626,2,0,2,0,0,0,0
242652627,33,0,17,3,9,0,3
242656350,13,0,3,0,9,0,1
242660643,2,0,1,0,1,0,0
242738668,3,0,0,1,2,0,0
242742654,4,0,2,1,1,0,0
242742655,12,0,1,0,11,0,0
242742665,3,0,0,0,3,0,0
242748645,1,0,0,0,1,0,0
242998461,1,0,1,0,0,0,0
244239522,3,0,0,0,3,0,0
244240131,44,0,30,12,1,0,0
244240132,1,0,1,0,0,0,0
244240134,4,0,4,0,0,0,0
244240135,111,2,74,19,14,0,0
244240321,12,0,8,2,1,0,0
244240322,6,0,6,0,0,0,0
244240532,48,0,37,5,4,0,0
244241312,24,0,9,8,5,0,1
244241313,17,0,8,4,2,0,0
244241314,4,0,1,3,0,0,0
